,STATE_ZONE,Mixing_heights,Date,Time,PILS
0,.DSCU,7000,8/26/2012,1934,BYZ
1,.DSCU,10000,9/1/2009,1109,PUB
2,.DSCU,13500,9/1/2009,1723,PUB
7,.DSCU,4900,9/1/2009,950,BOU
8,.DSCU,7400,9/1/2009,1751,BOU
17,.DSCU,7100,8/24/2006,1139,BYZ
19,.DSCU,10400,8/3/2010,1638,GGW
21,.DSCU,13400,8/22/2011,1833,CYS
22,FOECA,12000,8/16/2018,841,RIW
23,FOECA,9000,8/16/2018,920,RIW
32,.DSCU,4000,8/16/2018,756,CYS
35,IFCON,11500,8/7/2009,1721,PUB
40,FOECA,5500,9/8/2009,1157,RIW
41,FOECA,7000,9/8/2009,1631,RIW
42,FOECA,6400,9/8/2009,2201,RIW
49,.DSCU,8200,9/5/2017,1022,GJT
50,.DSCU,9600,9/5/2017,1530,GJT
51,.DSCU,7500,9/5/2017,2250,GJT
55,.DSCU,9400,8/11/2011,406,GJT
56,.DSCU,0,8/11/2011,1342,GJT
57,.DSCU,0,8/11/2011,1407,GJT
58,.DSCU,0,8/11/2011,1537,GJT
62,.DSCU,9500,8/21/2020,1246,BYZ
63,Siila,9100,8/21/2020,1251,BYZ
64,Uplop,10100,8/21/2020,1501,BYZ
65,Th fo,7300,8/21/2020,1947,BYZ
70,.DSCU,9300,9/5/2011,1032,RIW
71,FOECA,10500,9/5/2011,1718,RIW
72,FOECA,10500,9/5/2011,1900,RIW
73,FOECA,10500,9/5/2011,1911,RIW
74,FOECA,9900,9/5/2011,2009,RIW
80,FOECA, ,9/5/2017,901,RIW
89,FOECA,1800,9/28/2018,1026,RIW
92,.DSCU,12000,8/29/2012,35,TFX
93,.DSCU,12000,8/29/2012,917,TFX
94,FOECA,5000,8/29/2012,1442,TFX
95,FOECA,4500,8/29/2012,1927,TFX
108,.DSCU,9600,9/1/2013,1114,BYZ
109,.DSCU,7700,9/12/2011,1214,BYZ
110,.DSCU,10000,8/29/2012,1351,BYZ
111,.DSCU,10900,8/29/2012,1407,BYZ
112,TEPER,6000,8/29/2012,2040,BYZ
113,TEPER,6000,8/29/2012,2137,BYZ
114,.DSCU,10900,8/29/2012,2217,BYZ
117,.DSCU,9000,8/16/2020,1832,ABQ
118,.DSCU,11500,8/16/2020,2253,ABQ
123,FOECA,6500,9/1/2013,1011,RIW
124,FOECA, ,9/1/2013,1019,RIW
125,FOECA, ,9/1/2013,1031,RIW
126,FOECA,7500,9/1/2013,1044,RIW
127,FOECA,7600,9/1/2013,1054,RIW
128,FOECA,13800,8/2/2008,2227,RIW
129,FOECA,4400,8/13/2006,1451,RIW
135,.DSCU,9000,8/29/2012,602,RIW
136,FOECA,8750,8/29/2012,1035,RIW
137,FOECA,8750,8/29/2012,1052,RIW
138,FOECA,10200,8/29/2012,1554,RIW
139,FOECA,10800,8/29/2012,1700,RIW
146,Bylat,12100,8/16/2020,1521,BOU
147,Bylat,12100,8/16/2020,1616,BOU
148,.DSCU,7300,8/21/2018,1016,PIH
151,.DSCU,13000,9/3/2017,1035,MSO
152,.DSCU,12000,9/3/2017,1043,MSO
153,Wet w,7500,9/3/2017,1512,MSO
154,.DSCU,9000,9/3/2017,1617,MSO
155,"Wam, ",6500,9/3/2017,2042,MSO
